mu solver sloppy rel_delta max_res_increase tts res
0.0256 cg single 1e-4 def 1.68855 3.345609e-11
0.0256 cg half 1e-2 def 1.23423 2.703664e-11
0.0256 cg half 1e-2 def 1.1748 3.493439e-11
0.0256 cg half 1e-2 def 1.17595 3.420474e-11
0.0256 cg half 1e-1 def 1.17473 3.400950e-11
0.0256 cg half 1e-1 def 1.13482 3.468684e-11
0.0256 cg half 1e-1 def 1.13116 3.597640e-11
0.0256 cg half 1e-1 (20,100) 1.22063 3.400950e-11
0.0256 cg half 1e-1 (20,100) 1.17879 3.468684e-11
0.0256 cg half 1e-1 (20,100) 1.19585 3.597640e-11
0.0256 cg half alt def 1.19583 3.420832e-11
0.0256 cg half alt def 1.38641 9.921054e-05
0.0256 cg half alt def 1.15746 3.653599e-11
0.0256 cg half alt (20,100) 1.18079 3.420832e-11
0.0256 cg half alt (20,100) 71.2855 1.041409e-04
0.0256 cg half alt (20,100) 1.15228 3.653599e-11
0.0512 mg single 1e-4 def 0.430626 1.691587e-13
0.0512 mg single 1e-4 def 0.38046 1.724939e-13
0.0512 mg single 1e-4 def 0.383612 1.525164e-13
0.0512 cg single 1e-4 def 0.897969 1.752267e-11
0.0512 cg single 1e-4 def 0.889357 1.674666e-11
0.0512 cg single 1e-4 def 0.886585 1.658045e-11
0.0512 cg half 1e-2 def 0.644292 1.583876e-11
0.0512 cg half 1e-2 def 0.608737 1.703002e-11
0.0512 cg half 1e-2 def 0.606226 1.600314e-11
0.0512 cg half 1e-1 def 0.645812 1.639891e-11
0.0512 cg half 1e-1 def 0.6124 1.660713e-11
0.0512 cg half 1e-1 def 0.610479 1.779068e-11
0.0512 cg half 1e-1 (20,100) 0.674989 1.639891e-11
0.0512 cg half 1e-1 (20,100) 0.655396 1.660713e-11
0.0512 cg half 1e-1 (20,100) 0.631429 1.779068e-11
0.0512 cg half alt def 0.658808 1.633726e-11
0.0512 cg half alt def 0.625907 1.748625e-11
0.0512 cg half alt def 0.622528 1.825756e-11
0.0512 cg half alt (20,100) 0.647828 1.633726e-11
0.0512 cg half alt (20,100) 0.623697 1.748625e-11
0.0512 cg half alt (20,100) 0.625369 1.825756e-11
0.1024 mg single 1e-4 def 0.324819 1.226224e-13
0.1024 mg single 1e-4 def 0.298157 1.306386e-13
0.1024 mg single 1e-4 def 0.301189 1.287055e-13
0.1024 cg single 1e-4 def 0.486186 8.032466e-12
0.1024 cg single 1e-4 def 0.474879 8.321543e-12
0.1024 cg single 1e-4 def 0.47555 7.656219e-12
0.1024 cg half 1e-2 def 0.351852 8.617659e-12
0.1024 cg half 1e-2 def 0.328625 7.844513e-12
0.1024 cg half 1e-2 def 0.325067 8.117481e-12
0.1024 cg half 1e-1 def 0.373436 7.857021e-12
0.1024 cg half 1e-1 def 0.347178 8.083894e-12
0.1024 cg half 1e-1 def 0.343111 8.472817e-12
0.1024 cg half 1e-1 (20,100) 0.374729 7.857021e-12
0.1024 cg half 1e-1 (20,100) 0.341692 8.083894e-12
0.1024 cg half 1e-1 (20,100) 0.340209 8.472817e-12
0.1024 cg half alt def 0.371303 7.871663e-12
0.1024 cg half alt def 0.343581 8.107828e-12
0.1024 cg half alt def 0.342951 8.467407e-12
0.1024 cg half alt (20,100) 0.373047 7.871663e-12
0.1024 cg half alt (20,100) 0.344789 8.107828e-12
0.1024 cg half alt (20,100) 0.342245 8.467407e-12
0.2048 mg single 1e-4 def 0.256523 8.923702e-14
0.2048 mg single 1e-4 def 0.229462 1.094751e-13
0.2048 mg single 1e-4 def 0.229614 9.911723e-14
0.2048 cg single 1e-4 def 0.269817 3.821619e-12
0.2048 cg single 1e-4 def 0.262303 3.952303e-12
0.2048 cg single 1e-4 def 0.255519 4.509415e-12
0.2048 cg half 1e-2 def 0.204526 3.532378e-12
0.2048 cg half 1e-2 def 0.183012 3.353254e-12
0.2048 cg half 1e-2 def 0.181516 3.662100e-12
