profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     23.7493	       1.816	     88.7675	       80182	 0.000296192	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy,commDim=0011,xpay,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 3398.58 Gflop/s, 1515.20 GB/s, tuning took 0.049062 seconds at Mon Jul 11 18:25:18 2022
     23.4824	     1.79559	     90.5631	       80182	 0.000292864	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 3437.20 Gflop/s, 1532.42 GB/s, tuning took 0.048818 seconds at Mon Jul 11 18:25:33 2022
     22.4956	     1.72014	     92.2833	       60408	 0.000372395	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2703.13 Gflop/s, 1205.15 GB/s, tuning took 0.052516 seconds at Mon Jul 11 18:27:47 2022
     13.0977	     1.00152	     93.2848	      969639	 1.35078e-05	         2x4x2x2	N4quda4blas13TransposeTuneINS0_9multiCdotES2_St7complexIdEEE	policy,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,n=4,m=5,multi-blas-n=4,max_nyw_tile=8	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.002817 seconds at Mon Jul 11 18:33:04 2022
     10.1807	    0.778467	     94.0633	        6680	  0.00152405	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1354.02 Gflop/s, 2245.69 GB/s, tuning took 0.241722 seconds at Mon Jul 11 18:23:58 2022
     10.1419	    0.775505	     94.8388	        6680	  0.00151825	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1359.19 Gflop/s, 2254.27 GB/s, tuning took 0.237879 seconds at Mon Jul 11 18:24:20 2022
     10.0958	    0.771975	     95.6107	       18509	 0.000545451	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1799.37 Gflop/s, 1568.68 GB/s, tuning took 0.090139 seconds at Mon Jul 11 18:27:11 2022
     9.39863	    0.718669	     96.3294	        6680	  0.00140698	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1430.92 Gflop/s, 2432.56 GB/s, tuning took 0.230885 seconds at Mon Jul 11 18:24:14 2022
     9.30511	    0.711518	     97.0409	        6680	  0.00139298	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1445.29 Gflop/s, 2457.00 GB/s, tuning took 0.235626 seconds at Mon Jul 11 18:23:52 2022
     7.35737	    0.562584	     97.6035	       29592	 0.000248627	     32x64x16x16	N4quda6WilsonINS_9WilsonArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2884.74 Gflop/s, 1484.55 GB/s, tuning took 0.047796 seconds at Mon Jul 11 18:27:53 2022
