tunecache	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 15:16:32 2022

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=1,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.96932e-05	# 40472.29 Gflop/s, 21500.90 GB/s, tuning took 0.005034 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=2,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.93318e-05	# 40718.81 Gflop/s, 21631.87 GB/s, tuning took 0.005006 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=2,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.93318e-05	# 40718.81 Gflop/s, 21631.87 GB/s, tuning took 0.004998 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=3,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.93318e-05	# 40718.81 Gflop/s, 21631.87 GB/s, tuning took 0.005077 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=3,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.92113e-05	# 40801.66 Gflop/s, 21675.88 GB/s, tuning took 0.005019 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=0,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	9.39287e-05	# 25720.77 Gflop/s, 13128.31 GB/s, tuning took 0.005478 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=0,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	9.33702e-05	# 25874.63 Gflop/s, 13206.84 GB/s, tuning took 0.005518 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=1,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	9.38356e-05	# 25746.29 Gflop/s, 13141.33 GB/s, tuning took 0.005486 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=1,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	9.40218e-05	# 25695.30 Gflop/s, 13115.31 GB/s, tuning took 0.005491 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=2,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	9.41149e-05	# 25669.89 Gflop/s, 13102.34 GB/s, tuning took 0.005492 seconds at Mon Jul 11 18:32:48 2022
