profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     33.1596	     2.11298	     57.5826	       91047	 0.000364203	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,dagger,parity=1	# 5553.78 Gflop/s, 2345.03 GB/s, tuning took 0.251742 seconds at Mon Jul 11 18:24:34 2022
     32.6623	     2.08129	     59.6639	       91047	 0.000358741	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,parity=1	# 5638.33 Gflop/s, 2380.73 GB/s, tuning took 0.249486 seconds at Mon Jul 11 18:24:47 2022
     28.2645	     1.80106	     61.4649	        1345	   0.0210145	 bytes=201326592	cudaMemcpyDefault	copy,color_spinor_field.cpp,543	# 0.00 Gflop/s, 9.58 GB/s, tuning took 0.160509 seconds at Mon Jul 11 18:24:56 2022
     27.1355	     1.72911	     63.1941	      109774	 0.000247194	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,dagger,parity=1	# 3595.03 Gflop/s, 1646.93 GB/s, tuning took 0.404543 seconds at Mon Jul 11 18:25:04 2022
      22.487	     1.43291	      64.627	       95230	 0.000236134	   32x64x16x16x2	N4quda4blas11axpyCGNorm2IdfEE	GPU-offline,nParity=1,vol=1048576,parity=1,precision=4,order=4,Ns=4,Nc=3,TwistFlavor=2	# 639.44 Gflop/s, 1278.89 GB/s, tuning took 1.586783 seconds at Mon Jul 11 18:23:36 2022
      22.409	     1.42794	     66.0549	       95230	 0.000235315	   32x64x16x16x2	N4quda4blas9AxpyReDotIdfEE	GPU-offline,nParity=1,vol=1048576,parity=1,precision=4,order=4,Ns=4,Nc=3,TwistFlavor=2	# 427.78 Gflop/s, 1283.34 GB/s, tuning took 1.571456 seconds at Mon Jul 11 18:23:34 2022
     20.2731	     1.29183	     67.3467	      159822	 0.000126848	        8x16x4x4	N4quda12DslashCoarseIfssLi2ELi24ELb1ELb0ELb1ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,comm=0011,full,halo=00001111	# 2379.17 Gflop/s, 1246.16 GB/s, tuning took 0.715252 seconds at Mon Jul 11 18:32:07 2022
     20.1039	     1.28105	     68.6278	       76022	 0.000264448	     32x64x16x16	N4quda4blas15tripleCGUpdate_IdEE	GPU-offline,vol=524288,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=1,vol=524288,parity=1,precision=8,order=2,Ns=4,Nc=3,TwistFlavor=1	# 285.49 Gflop/s, 1276.78 GB/s, tuning took 0.018051 seconds at Mon Jul 11 18:25:34 2022
     19.6399	     1.25148	     69.8793	       80182	 0.000244941	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,parity=1	# 4026.22 Gflop/s, 1743.41 GB/s, tuning took 0.380657 seconds at Mon Jul 11 18:25:27 2022
      19.607	     1.24939	     71.1287	       80182	 0.000244531	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,dagger,parity=1	# 4032.96 Gflop/s, 1746.33 GB/s, tuning took 0.380269 seconds at Mon Jul 11 18:25:12 2022
