mu     L      gpu        tts
0.0008 32     A100       1950
0.0012 32     A100       1752
0.0018 32     A100       1720
0.0030 32     A100       1481
0.0008 32     MI250      3511
0.0012 32     MI250      2873
0.0018 32     MI250      2742
0.0030 32     MI250      1964
