tts prec
1.205890e+00 double
3.402942e+00 double
3.403281e+00 double
1.215863e+00 double
1.204633e+00 double
1.271401e+01 double
3.397399e+00 double
1.205374e+00 double
2.113272e+01 double
2.522753e+01 double
1.882804e+01 double
2.224036e+01 double
1.525183e+00 double
4.594070e+00 double
1.747163e+01 double
1.965537e+01 single_single
2.075525e+01 single_single
1.636960e+01 single_single
2.066813e+01 single_single
1.623701e+01 single_single
2.072625e+01 single_single
1.183650e+00 single_single
2.376146e+00 single_single
1.199652e+01 single_single
8.339257e+00 single_single
2.180927e+00 single_single
1.070062e+00 single_single
1.073000e+00 single_single
1.070709e+00 single_single
1.081302e+00 single_single
2.186221e+00 single_single
2.181202e+00 single_single
1.066405e+00 single_single
1.061454e+00 single_single
1.064210e+00 single_single
2.200731e+00 single_single
8.345665e+00 single_single
8.305606e+00 single_single
1.065858e+00 single_single
1.071352e+00 single_single
1.134310e+00 single_single
2.198823e+00 single_single
2.178915e+00 single_single
1.061043e+00 single_single
1.067107e+00 single_single
1.072250e+00 single_single
2.202392e+00 single_single
8.354400e+00 single_single
1.113548e+00 single_single
1.082024e+00 single_single
1.073258e+00 single_single
2.192202e+00 single_single
2.204457e+00 single_single
1.075211e+00 single_single
1.075683e+00 single_single
1.115569e+00 single_single
2.199782e+00 single_single
8.382836e+00 single_single
8.407292e+00 single_single
1.108717e+00 single_single
1.076546e+00 single_single
1.069757e+00 single_single
2.205576e+00 single_single
2.203079e+00 single_single
1.069945e+00 single_single
1.071528e+00 single_single
1.070252e+00 single_single
2.207281e+00 single_single
8.387411e+00 single_single
1.147923e+00 single_single
1.078935e+00 single_single
1.072441e+00 single_single
2.219120e+00 single_single
2.192946e+00 single_single
1.074466e+00 single_single
1.070377e+00 single_single
1.073984e+00 single_single
2.204650e+00 single_single
8.376599e+00 single_single
8.392880e+00 single_single
1.067286e+00 single_single
1.062832e+00 single_single
1.077712e+00 single_single
2.219179e+00 single_single
2.226350e+00 single_single
1.122740e+00 single_single
1.072059e+00 single_single
1.069924e+00 single_single
2.214515e+00 single_single
8.394818e+00 single_single
1.078212e+00 single_single
1.062748e+00 single_single
1.117272e+00 single_single
2.223095e+00 single_single
2.226377e+00 single_single
1.169648e+00 single_single
1.076682e+00 single_single
1.071302e+00 single_single
2.243989e+00 single_single
8.433724e+00 single_single
8.409861e+00 single_single
1.077636e+00 single_single
1.083248e+00 single_single
1.062346e+00 single_single
2.210506e+00 single_single
2.229137e+00 single_single
1.062933e+00 single_single
1.061980e+00 single_single
1.110839e+00 single_single
2.221829e+00 single_single
8.405150e+00 single_single
1.068259e+00 single_single
1.118612e+00 single_single
1.075980e+00 single_single
2.210356e+00 single_single
2.210972e+00 single_single
1.065980e+00 single_single
1.066427e+00 single_single
1.072065e+00 single_single
2.202480e+00 single_single
8.408337e+00 single_single
8.400505e+00 single_single
1.081794e+00 single_single
